Name,Address,location,photo_reference
Hiriketiya Beach,"Hiriketiya Beach, Sri Lanka","{lat: 5.9623577, lng: 80.706811}",AWU5eFi9h_DgvKT32QZswFvc5nXnYRlDgEY7YK5SaUuYn_NyqF…Tsx_H2jAGAQhhDX1jbqjivyKZISS
Dalada Maligawa,"Kandy, Sri Lanka","{lat: 7.293609, lng: 80.641325}",AWU5eFjKEJ3F41ZEek6VOKgjq1HrlIdGwbWmcO8Kvjb69dzL__…VwGYbcSHecF7FDCbSpsLxlAGq-M
Galle Fort,"Galle Fort Thalpe Unawatuna, Unawatura, Sri Lanka",{lat: 6.0236999; lng: 80.21751379999999},AWU5eFiP4wOtXXCtZwZbbBJukpoGJomihbqDH-iQhsyMhTZ5Ri…OKyG6wuOfLBNyQstDVlkW-lFnmtK
Sigiriya,"Sigiriya, Sri Lanka","{lat: 7.966388599999999, lng: 80.7618379}",AWU5eFhbwiwA2YECWQW7CVfy_c-4go7c2YtB2pIFqCQA1q4bRS…MsIow4qTRGzXzgQJ7d5cyvyImJG
Sripada,"Sri Pada / Adam's Peak, Sri Lanka","{lat: 6.809642999999999, lng: 80.4993882}",AWU5eFhZNbA0B7B59xGKL0hIqUJhAwTosO4ZBu1t7HLMTRY70J…PR68MuRqmFaHjQezbMW1uYWh_2i
